Timestamp,Dónde estás trabajando,Dedicación,Contrato Plazo Fijo,Último salario mensual  o retiro BRUTO (en tu moneda CLP),Último salario mensual o retiro NETO (en tu moneda CLP),Pagos,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2023?,Que Porcentaje de ipc % te reajustaron,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Tiempo en el puesto actual,¿Cuántas personas a cargo tienes?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Salir o seguir contestando sobre las guardias?,¿Tienes turnos?,Cuánto cobrás por los turnos,Aclara el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,Tengo (edad),Me identifico (género),¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento en tu ciudad?
11/24/2023 1:11:59,Región de Los Ríos,Full-Time,Contrato Indefinido,2000000,1600000,Cobro todo el salario en pesos,,De uno a tres sueldos,Performance de la compañía,Dos,100,Octubre,2,"Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Licencia por nacimiento extendida",3,"No, pero escucho ofertas.",Technical Writer,4,2,2,0,"Arduino o similar, SAP, VMWare, Windows Server","C, C#, SQL",SAP,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% presencial,0,7,1,Terminar encuesta,,,,,,,,,,40,Varón Cis,No
11/24/2023 8:30:00,Región del Biobío,Full-Time,Contrato Indefinido,1500000,1200000,Cobro todo el salario en pesos,,No,por contrato art. 22 no recibo bonos,Uno,2,Enero,2,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles",2,"No, pero escucho ofertas.",Developer,7,5,2,2,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Microcontroladores, Serverless, Windows Server",".NET, Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, Python, Swift, TypeScript, VBA",".NET Core, Angular, Bootstrap, jQuery, Node.js, Spring","Microsoft SQL Server, MongoDB, Neo4j, PostgreSQL, SQLite",Postman,De 501 a 1000 personas,Híbrido (presencial y remoto),5,8,5,Terminar encuesta,,,,,,,,,,33,Hombre,
11/24/2023 9:11:31,Región Metropolitana,Full-Time,Contrato Indefinido,1010000,910000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",4,"No, estoy muy conforme.",Developer,2,0,0,0,Ninguna de las anteriores,".NET, C#, CSS, HTML, Java, Javascript, PHP, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery, Node.js",PostgreSQL,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,10,5,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Duoc UC Universidad Católica,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,22,Mujer Cis,"No lo sé, quiero experiencias para decidir"
11/24/2023 11:41:43,Región Metropolitana,Full-Time,Contrata / Planta estatal,1700000,1420000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Technical Leader,3,5,2,4,"Amazon Web Services, Docker, Kubernetes","CSS, HTML, Javascript, PHP, Python","Bootstrap, CodeIgniter, Flutter, jQuery, Vue.js","MariaDB, Oracle",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,7,3,Terminar encuesta,,,,,,,,,,31,Varón Cis,
11/24/2023 12:10:06,Región de Los Lagos,Full-Time,Contrato Indefinido,3017000,2632000,Cobro todo el salario en pesos,,No,No recibo bono,Uno,2,Julio,2,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Technical Leader,20,15,5,1,"VMWare, Windows Server",".NET, C#",.NET Core,Microsoft SQL Server,Postman,De 501 a 1000 personas,100% presencial,0,8,3,Terminar encuesta,,,,,,,,,,41,macho alfa,
11/24/2023 12:17:19,Región Metropolitana,Full-Time,Contrata / Planta estatal,2434754,1942020,Cobro todo el salario en pesos,,Menos de un sueldo,Mix de las anteriores,Uno,4,Enero,3,"Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",DevOps Engineer,23,9,4,0,"Amazon Web Services, Arduino o similar, Linux, Microcontroladores, Windows Server",".NET, Arduino, Bash/Shell, C++, C#, CSS, HTML, Java, Javascript, Perl, PHP, Python, SQL",".NET Core, Bootstrap, Hibernate, jQuery, WordPress","MariaDB, Microsoft SQL Server, MySQL, SQLite","Postman, SoapUI",De 201 a 500 personas,Híbrido (presencial y remoto),2,8,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería Electrónica,Instituto Profesional INACAP,Terminar encuesta,,,,,48,Varón Cis,
11/24/2023 14:12:13,Región de Arica y Parinacota,Full-Time,Contrato Indefinido,1,1,Cobro todo el salario en dólares,,3+ sueldos,Mix de las anteriores,Más de tres,10,Junio,4,Abono de celular,4,"Sí, estoy buscando activamente.",Architect,10,1,1,1,Amazon Web Services,"Groovy, VBA",.NET Core,"Aerospike, Sybase",Appium,1 (solamente yo),100% remoto,0,10,5,Terminar encuesta,,,,,,,,,,45,Agénero,Walmark
11/24/2023 14:37:16,Región Metropolitana,Full-Time,Contrato Indefinido,200000,160300,Cobro todo el salario en pesos,,3+ sueldos,Performance individual,Dos,100,Agosto,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (El mercurio, La Tercera , otro), Horarios flexibles, Sala de lactancia en la oficina, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",Data Engineer,2,2,2,1,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless, Snowflake, Airflow, Presto, Trino, ScikitLearn, HIVE, MapReduce, Spark","Bash/Shell, Python, SQL, TypeScript","Hadoop, Node.js, Spark, TensorFlow","Amazon RDS/Aurora, Apache Hive, MySQL, PostgreSQL",Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,9,2,Responder sobre mis estudios,Secundario,Completo,Bootcamp Coding Dojo,Otra,Responder sobre guardias,No,0,Neto,Terminar encuesta,20,Varón Cis,"Globant, MercadoLibre, Ey"
11/24/2023 14:38:09,Región Metropolitana,Part-Time,Freelance,200000,200000,Mi sueldo está dolarizado (pero cobro en moneda local),250,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,1,0,0,1,"Arduino o similar, Firebase, Google Cloud Platform","C#, Javascript, Python, SQL","Flutter, Node.js, Torch","Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),1,6,3,Terminar encuesta,,,,,,,,,,26,Prefiero no decir,
11/24/2023 16:31:12,Región de Valparaíso,Full-Time,Contrato Indefinido,2044509,1659126,Cobro todo el salario en pesos,,Menos de un sueldo,"Cumplir reglas de la empresa, conectividad, colación ",No,0,No tuve,3,"Clases de idiomas, Comidas pagas / subvencionadas",4,"No, estoy muy conforme.",Consultant,1,0,0,0,"Azure, Docker, Kubernetes","Go, Javascript, TypeScript","Node.js, Express","Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB","Jest, Postman",De 101 a 200 personas,100% remoto,0,10,2,Responder sobre mis estudios,Universitario,Completo,Ingeniero civil telemático,Universidad Técnica Federico Santa María.,Responder sobre guardias,"Sí, pasiva",150000,Bruto,Terminar encuesta,24,Varón Cis,
11/24/2023 17:56:55,Región Metropolitana,Full-Time,Contrato Indefinido,3055000,2217981,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Estacionamiento gratuito / subvencionado, Horarios flexibles, Sueldo dividido en dos pagos por mes",2,"No, pero escucho ofertas.",Technical Leader,15,3,2,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless","CSS, Go, HTML, Javascript, PHP, Python, SQL, TypeScript","jQuery, React.js, Vue.js, WordPress","MariaDB, MongoDB, Redis",Puppeteer,De 11  a 50  personas,Híbrido (presencial y remoto),1,5,4,Responder sobre guardias,Universitario,Incompleto,Ingenierio Civil en Informatica,Universidad de Santiago,Terminar encuesta,"Sí, pasiva",0,Neto,Responder sobre mis estudios,34,Varón Cis,
11/24/2023 19:43:59,Región Metropolitana,Full-Time,Contrato Indefinido,3200000,3200000,Cobro todo el salario en pesos,,Un sueldo,Performance de la compañía,Dos,3,Septiembre,3,Capacitaciones y/o cursos,3,"No, pero escucho ofertas.",SRE (Site Reliability Engineer),12,1,1,0,"Azure, Docker, Kubernetes, Linux","Java, Javascript, Python",Spring,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, Redis",Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,9,3,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,Otra,Terminar encuesta,"Sí, pasiva",100000,Neto,Responder sobre mis estudios,37,Varón Cis,Microsoft
11/24/2023 19:58:30,Región Metropolitana,Full-Time,Contrato plazo Fijo,1400000,1150000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,0,0,0,0,"Amazon Web Services, Docker, Linux, Microcontroladores, Serverless","Javascript, Python, SQL","Bootstrap, Django","MySQL, PostgreSQL","JUnit, Postman, Selenium",De 101 a 200 personas,Híbrido (presencial y remoto),1,2,5,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Computación,Universidad de Santiago,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,24,Varón Cis,amazon
11/24/2023 20:06:39,Región Metropolitana,Full-Time,Contrato Indefinido,883000,700000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",BI Analyst / Data Analyst,1,1,1,0,Linux,Ruby,Ruby on rails,PostgreSQL,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,5,3,Responder sobre guardias,Universitario,Completo,Analista Programador Universitario,Instituto Profesional INACAP,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,23,Varón Cis,"Buk, Falabella "
11/24/2023 21:22:26,Región Metropolitana,Full-Time,Contrato plazo Fijo,830000,700000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,1,0,0,0,"Docker, Firebase","CSS, HTML, Javascript","Next.js, React.js, WordPress","MongoDB, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,0,1,Terminar encuesta,,,,,,,,,,50,Varón Cis,Globamt
11/24/2023 22:48:30,Región Metropolitana,Full-Time,Contrato Indefinido,3600000,2866000,Cobro todo el salario en pesos,,De uno a tres sueldos,Mix de las anteriores,No,0,Marzo,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, estoy muy conforme.",Data Engineer,11,2,2,0,"Docker, Linux, Apache Spark, Databricks","Java, Python, Scala, SQL","Hadoop, Spark","Apache Hive, MySQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,0,1,Responder sobre guardias,Terciario,Completo,Analista Programador,Duoc UC Universidad Católica,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,37,Hombre,
11/25/2023 0:52:14,Región Metropolitana,Full-Time,Contrato Indefinido,1092467,915341,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"Sí, estoy buscando activamente.",HelpDesk,1,0,0,0,Ninguna de las anteriores,Java,Ninguno de los anteriores,"MongoDB, MySQL",Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,9,3,Responder sobre mis estudios,Universitario,Completo,Pedagogía en educación física,Universidad San Sebastián,Terminar encuesta,,,,,30,Varón Cis,
11/25/2023 12:50:08,Región Metropolitana,Full-Time,Contractor,6757542,5672988,Cobro todo el salario en dólares,910,De uno a tres sueldos,Performance de la compañía,No,0,No tuve,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,8,0,0,0,"Docker, Vercel","CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js","PostgreSQL, SQLite",Jest,De 2 a 10 personas,100% remoto,0,10,5,Responder sobre mis estudios,Universitario,Completo,Ingenierio Civil en Informatica,Otra,Terminar encuesta,,,,,32,Varón Cis,
11/25/2023 16:10:09,Región Metropolitana,Part-Time,Freelance,1200000,1000000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance grupal,No,0,Enero,2,Horarios flexibles,3,"No, pero escucho ofertas.",Developer,3,0,0,0,"Amazon Web Services, VMWare, Windows Server","HTML, Javascript, Python, SQL","Angular, Node.js",Microsoft SQL Server,Ninguna de las anteriores,1 (solamente yo),100% remoto,5,7,3,Terminar encuesta,,,,,,,,,,38,Varón Cis,
11/26/2023 20:20:13,Región Metropolitana,Full-Time,Contrata / Planta estatal,3500000,3000000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance de la compañía,Uno,0,No tuve,3,"Capacitaciones y/o cursos, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Jardin Infantil",3,"No, estoy muy conforme.",Technical Leader,7,1.5,1,7,"Azure, Docker, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,De 501 a 1000 personas,100% presencial,0,7,2,Terminar encuesta,,,,,,,,,,29,Masculino,
11/27/2023 16:17:41,Región Metropolitana,Full-Time,Contrato plazo Fijo,919540,800000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,0,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, Python, SQL, TypeScript","Bootstrap, Django, Next.js, Node.js, React.js",PostgreSQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,7,5,Responder sobre mis estudios,Universitario,Incompleto,Ingeniero Civil en Informatica y Telecomunicaciones,Universidad Diego Portales,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,23,Varón Cis,"Fintoc, Fintual, Toku, Examedi"
11/28/2023 16:09:42,Región Metropolitana,Full-Time,Contrato Indefinido,5998438,5475059,Cobro todo el salario en pesos,,3+ sueldos,Performance de la compañía,Uno,3,Marzo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Manager / Director,18,2,1,10,"Azure, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless","CSS, Go, HTML, Javascript, TypeScript","Next.js, Node.js, React.js","MongoDB, CosmosDB","Jest, Postman",Más de 10000 personas,Híbrido (presencial y remoto),1,7,0,Responder sobre guardias,Universitario,Incompleto,Ingeniería en Informática,Universidad Andrés Bello,Terminar encuesta,"Sí, pasiva",80000,Bruto,Responder sobre mis estudios,40,Varón Cis,"Uber, Mercado Libre, Falabella, Walmart Chile"
11/28/2023 16:54:10,Región Metropolitana,Full-Time,Contrato Indefinido,7100000,5400000,Cobro todo el salario en pesos,,De uno a tres sueldos,Mix de las anteriores,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (El mercurio, La Tercera , otro), Estacionamiento gratuito / subvencionado, Horarios flexibles, Sala de lactancia en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",Manager / Director,25,14,5,100,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless",Bash/Shell,Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB, MySQL, Redis",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,10,4,Responder sobre mis estudios,Universitario,Incompleto,Ciencias de la Computación,Otra,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,45,Varón Cis,
11/28/2023 17:03:24,Región Metropolitana,Full-Time,Contrato Indefinido,1369828,1256834,Cobro todo el salario en pesos,,Menos de un sueldo,Votado por decisión colectiva,No,0,No tuve,4,Comidas pagas / subvencionadas,3,"No, pero escucho ofertas.",SysAdmin,4,0,0,0,"Linux, Solaris, ",Bash/Shell,Ninguno de los anteriores,"Oracle, Sybase",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,0,0,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Telecomunicaciones,Duoc UC Universidad Católica,Terminar encuesta,,,,,32,Varón Cis,
11/28/2023 17:03:44,Región Metropolitana,Full-Time,Contrato Indefinido,5291000,3757000,Cobro todo el salario en pesos,,De uno a tres sueldos,Performance de la compañía,No,0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Sala de lactancia en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",3,"No, pero escucho ofertas.",DevOps Engineer,12,5,5,12,"Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","Bash/Shell, Python",Ninguno de los anteriores,"Google Cloud Storage, PostgreSQL",JUnit,Más de 10000 personas,Híbrido (presencial y remoto),1,10,4,Terminar encuesta,,,,,,,,,,38,Varón Cis,
11/28/2023 18:33:55,Región del Biobío,Full-Time,Contrato Indefinido,3400000,2600000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance de la compañía,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Descuentos varios (El mercurio, La Tercera , otro), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,4,1,1,0,"Amazon Web Services, Docker, Microcontroladores","Bash/Shell, CSS, HTML, Java, Javascript, TypeScript","Angular, Bootstrap, Hibernate, Node.js, TailwindCSS","Amazon Redshift, ElasticSearch, PostgreSQL",Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,7,4,Terminar encuesta,,,,,,,,,,26,Varón Cis,
11/28/2023 20:13:15,Región de O’Higgins,Full-Time,Contrato Indefinido,1500000,1500000,Cobro todo el salario en pesos,853,Menos de un sueldo,Performance de la compañía,No,0,No tuve,3,"Abono de celular, Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado",3,"Sí, estoy buscando activamente.",Developer,9,1,1,0,"Linux, Windows Server, GeneXus ",".NET, Java, PHP, SQL, VBA",".NET Core, Angular, WordPress","MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,8,0,Terminar encuesta,,,,,,,,,,32,Varón Cis,
11/28/2023 23:36:21,Región Metropolitana,Full-Time,Contrato Indefinido,4700000,3850000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (El mercurio, La Tercera , otro), Horarios flexibles, Stock options / RSUs",3,"No, pero escucho ofertas.",SRE (Site Reliability Engineer),10,4,2,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless, VMWare, Ninguna de las anteriores","Go, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, Apache Hive, ElasticSearch, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, Percona XtraBackup, Percona Server, PostgreSQL, Redis, SQLite","Cucumber, JUnit, Puppeteer",Más de 10000 personas,Híbrido (presencial y remoto),1,8,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,Otra,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,37,Varón Cis,
11/29/2023 10:51:28,Región Metropolitana,Full-Time,Contrato Indefinido,4500000,3650000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",DevOps Engineer,15,0,0,2,"Azure, Docker, Google Cloud Platform, IBM Cloud / Watson, Kubernetes, Linux, OpenShift, VMWare",Python,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Ninguna de las anteriores","Postman, SoapUI, Visual Studio Coded UI",De 201 a 500 personas,100% remoto,0,8,3,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Otra,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,40,hombre,"santander, globant, redhat"
11/29/2023 12:32:42,Región Metropolitana,Full-Time,Contrato Indefinido,3400000,2650000,Cobro todo el salario en pesos,,De uno a tres sueldos,Mix de las anteriores,Uno,8,Marzo,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Stock options / RSUs, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",DevOps Engineer,13,4,4,0,"Azure, Docker, Kubernetes, Linux, OpenShift, OpenStack","Bash/Shell, Groovy, SQL",Ninguno de los anteriores,"Cassandra, ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB, MySQL, PostgreSQL, Redis, SQLite",Selenium,De 5001 a 10000 personas,Híbrido (presencial y remoto),1,10,3,Terminar encuesta,,,,,,,,,,39,Varón Cis,
11/29/2023 12:58:11,Región Metropolitana,Full-Time,Contrato Indefinido,2722225,2176240,Cobro todo el salario en pesos,,No,No recibo bono,Uno,0,Marzo,2,"Comidas pagas / subvencionadas, Descuentos varios (El mercurio, La Tercera , otro)",2,"No, pero escucho ofertas.",Product Manager,15,7,3,16,"Azure, SAP","Python, SQL, VBA",SAP,"MySQL, Teradata",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,3,1,Terminar encuesta,,,,,,,,,,36,Varón Cis,
11/29/2023 13:18:15,Región Metropolitana,Full-Time,Contrato Indefinido,893000,764000,Cobro todo el salario en pesos,,No,No recibo bono,Uno,5,Marzo,3,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",SysAdmin,7,2,2,0,"Azure, Linux, Serverless, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, SQLite",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,3,0,Terminar encuesta,,,,,,,,,,25,Varón Cis,
11/29/2023 14:40:14,Región Metropolitana,Full-Time,Contrato Indefinido,4014000,3340000,Cobro todo el salario en pesos,,No,No recibo bono,Uno,0,Febrero,4,Ninguna de las anteriores,4,"No, pero escucho ofertas.",Developer,9,4,4,3,"Amazon Web Services, Docker, Firebase, Serverless","HTML, Javascript, PHP, Python, Ruby, SQL, TypeScript","Laravel, Node.js, React.js, react native","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MongoDB, Redis","Cypress, Mocha, RSpec",De 11  a 50  personas,100% remoto,0,10,2,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Otra,Responder sobre guardias,No,0,Neto,Terminar encuesta,31,Varón Cis,Desconozco
11/29/2023 17:44:28,Región Metropolitana,Full-Time,Contrato Indefinido,1212283,933216,Cobro todo el salario en pesos,,No,No recibo bono,Uno,0,Junio,2,Abono de Internet,2,"Sí, estoy buscando activamente.",Developer,3,1,1,0,Ninguna de las anteriores,"Java, SQL, TypeScript","Angular, Spring",Oracle,Postman,De 11  a 50  personas,100% remoto,0,7,2,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Informática y Gestión,Universidad Diego Portales,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,23,Varón Cis,
11/29/2023 18:50:03,Región Metropolitana,Full-Time,Freelance,200000,180000,Cobro todo el salario en pesos,Nada,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,3,3,3,0,"Firebase, Linux","CSS, HTML, Javascript, TypeScript","Bootstrap, Next.js, React.js",MongoDB,Ninguna de las anteriores,1 (solamente yo),100% remoto,0,0,3,Responder sobre mis estudios,Terciario,Incompleto,Tecnicatura en Computación,Instituto Profesional INACAP,Terminar encuesta,,,,,38,Prefiero no decir,"Google, Wallmart, IBM, NTT Data"
11/29/2023 22:53:57,Región Metropolitana,Full-Time,Contrato Indefinido,5350000,4380000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Sala de lactancia en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",3,"No, pero escucho ofertas.",Technical Leader,25,3,3,5,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Go, Python",Ninguno de los anteriores,"Amazon RDS/Aurora, Google Cloud Storage, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,8,3,Responder sobre mis estudios,Posgrado/Especialización,Completo,Ingeniería Civil Industrial,Universidad Mayor,Terminar encuesta,,,,,48,Varón Cis,"Globant, EPAM, Accenture"
11/30/2023 13:41:57,Región Metropolitana,Full-Time,Contrato Indefinido,2900000,2232000,Cobro todo el salario en pesos,,De uno a tres sueldos,Mix de las anteriores,Dos,2,Mayo,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Mobile developer,3,2,2,0,"Docker, Firebase, OpenShift, Windows Server","CSS, HTML, Java, Javascript, SQL, TypeScript","Next.js, Node.js, React.js, Spring, NestJs","MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis","Jest, JUnit, Postman",De 501 a 1000 personas,100% remoto,0,6,3,Responder sobre mis estudios,Universitario,Completo,Ingenierio Civil en Informatica,Universidad Tecnológica Metropolitana,Terminar encuesta,,,,,28,Varón Cis,MercadoLibre
